S300 Angle scan, bar, 3LS lens, cookies for lens, air gap for the prizm-MCP
beam_17253122621    8  2017    2017    2  6  60.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253122927    9  2017    2017    2  6  65.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253123238    10 2017    2017    2  6  70.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253123541    11 2017    2017    2  6  75.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253123831    12 2017    2017    2  6  80.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253124041    13 2017    2017    2  6  85.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253124232    14 2017    2017    2  6  90.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253124413    15 2017    2017    2  6  95.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253124713    16 2017    2017    2  6  100.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253124856    17 2017    2017    2  6  105.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125035    18 2017    2017    2  6  110.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125158    19 2017    2017    2  6  115.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125333    20 2017    2017    2  6  120.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125511    21 2017    2017    2  6  125.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125649    22 2017    2017    2  6  130.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253125831    23 2017    2017    2  6  135.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253130011    24 2017    2017    2  6  140.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253130206    25 2017    2017    2  6  145.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253130341    26 2017    2017    2  6  150.00  0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S324 Colimator scan; theta=25; phi=0; plate + 3LC lens
beam_s324_5x5       0  2017    2017    2  6  20.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    

S325 X edge scan; theta=25; phi=0; plate + cookies + 3LC lens;
beam_s325_x105      0  2017    2017    2  6  25.00   0.00    447.00  190.00  70.00   0.00    7.00    3.00    
beam_s325_x95       1  2017    2017    2  6  25.00   0.00    447.00  180.00  70.00   0.00    7.00    3.00    

S326 Theta scan; phi=0; plate + cookies + 3LC lens
beam_17253142508    0  2017    2017    2  6  20.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_s326_25        1  2017    2017    2  6  25.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253134837    2  2017    2017    2  6  30.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
beam_17253135121    3  2017    2017    2  6  40.00   0.00    447.00  85.00   70.00   0.00    7.00    3.00    
