2016/10/08 20:39:02 endpoint: 0x2001, chain: 01, channel: 14 threshold: 0x83d4, uid: d6000004e38f2728
2016/10/08 20:39:02 endpoint: 0x2006, chain: 02, channel: 14 threshold: 0x8376, uid: 620000050d8a9e28
2016/10/08 20:39:02 endpoint: 0x2008, chain: 00, channel: 14 threshold: 0x83bb, uid: 4f0000050d27ca28
2016/10/08 20:39:02 endpoint: 0x2002, chain: 02, channel: 14 threshold: 0x84fc, uid: 550000050d4aa528
2016/10/08 20:39:02 endpoint: 0x2009, chain: 01, channel: 14 threshold: 0x84e3, uid: b60000050d610428
2016/10/08 20:39:16 endpoint: 0x200a, chain: 02, channel: 15 threshold: 0x8145, uid: 330000050dfa4528
2016/10/08 20:39:16 endpoint: 0x2004, chain: 00, channel: 15 threshold: 0x868b, uid: 580000050d344028
2016/10/08 20:39:16 endpoint: 0x2005, chain: 01, channel: 15 threshold: 0x82e3, uid: 8a0000050d4b2e28
2016/10/08 20:39:16 endpoint: 0x2000, chain: 00, channel: 15 threshold: 0x848d, uid: c00000050df9bf28
2016/10/08 20:39:16 endpoint: 0x2001, chain: 01, channel: 15 threshold: 0x83c9, uid: d6000004e38f2728
2016/10/08 20:39:16 endpoint: 0x2008, chain: 00, channel: 15 threshold: 0x8389, uid: 4f0000050d27ca28
2016/10/08 20:39:16 endpoint: 0x2006, chain: 02, channel: 15 threshold: 0x83b9, uid: 620000050d8a9e28
2016/10/08 20:39:16 endpoint: 0x2002, chain: 02, channel: 15 threshold: 0x856d, uid: 550000050d4aa528
2016/10/08 20:39:16 endpoint: 0x2009, chain: 01, channel: 15 threshold: 0x8405, uid: b60000050d610428
2016/10/08 20:39:34 endpoint: 0x2005, chain: 02, channel:  0 threshold: 0x8301, uid: 6b0000050d4e0928
2016/10/08 20:39:34 endpoint: 0x2000, chain: 01, channel:  0 threshold: 0x824d, uid: 9f0000050d38aa28
2016/10/08 20:39:34 endpoint: 0x2003, chain: 00, channel:  0 threshold: 0x8392, uid: 850000050d4acb28
2016/10/08 20:39:34 endpoint: 0x2008, chain: 01, channel:  0 threshold: 0x8258, uid: 740000050d351a28
2016/10/08 20:39:34 endpoint: 0x2007, chain: 00, channel:  0 threshold: 0x8345, uid: a20000050e0cfa28
2016/10/08 20:39:34 endpoint: 0x2009, chain: 02, channel:  0 threshold: 0x84e1, uid: 040000050d3e1a28
2016/10/08 20:39:34 endpoint: 0x2001, chain: 02, channel:  0 threshold: 0x81ed, uid: 3b0000050d74bb28
2016/10/08 20:39:34 endpoint: 0x2004, chain: 01, channel:  0 threshold: 0x847e, uid: e30000050d4b9c28
2016/10/08 20:39:34 endpoint: 0x200b, chain: 00, channel:  0 threshold: 0x8470, uid: ae000004a47e6728
2016/10/08 20:39:48 endpoint: 0x2005, chain: 02, channel:  1 threshold: 0x83e3, uid: 6b0000050d4e0928
2016/10/08 20:39:48 endpoint: 0x2000, chain: 01, channel:  1 threshold: 0x8283, uid: 9f0000050d38aa28
2016/10/08 20:39:48 endpoint: 0x2003, chain: 00, channel:  1 threshold: 0x8427, uid: 850000050d4acb28
2016/10/08 20:39:48 endpoint: 0x2008, chain: 01, channel:  1 threshold: 0x8200, uid: 740000050d351a28
